root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers_64;sharedBuffers_128;sharedBuffers_256;sharedBuffers;tempBuffers_2;tempBuffers_8;tempBuffers_32;tempBuffers;workMem_256;workMem_1024;workMem_4096;workMem;revision;performance;cpu
1;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;57434;2.925909
1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;56530;2.955512
1;0;0;0;1;1;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;57275;2.883474
1;0;0;0;1;1;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;57126.4;2.865714
1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;57318.2;2.867579
1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;56691;2.930384
1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;57720.4;2.876461
1;0;0;0;1;1;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;57797;2.942725
1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;57213.2;2.875881
1;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;56267.2;2.927506
1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;57516.2;2.902249
1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;57501.4;2.873208
1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;56547.6;2.928415
1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;57350;2.916338
1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;57332.6;2.812091
1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;57314;2.869782
1;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;56637;2.997698
1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;56906;2.894619
1;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;57508.6;2.875244
1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;56531.6;2.972581
1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;57482.2;2.916351
1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;57660.4;2.919395
1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;56081.4;2.967728
1;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;56083.6;2.822627
1;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;56497;2.787081
1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;55835.4;2.799123
1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;57156;2.858383
1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;56580.4;2.81253
1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;56468.6;2.815173
1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;55213;2.884351
1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;56265.4;2.860125
1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;55729.6;2.878692
1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;56674;2.844986
1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;56343;2.845026
1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;55469.6;2.876309
1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;56269.6;2.826081
1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;56294.6;2.866382
1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;55896.6;2.803905
1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;56739;2.833375
1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;56469.2;2.834663
1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;55563;2.86216
1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;56802.8;2.81693
1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;55569.8;2.904023
1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;56428.6;2.824822
1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;56047.2;2.870123
1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;55226.6;2.827075
1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;56237.4;2.778726
1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;56116.6;2.845726
1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;56331.8;2.839929
1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;56066.4;2.888411
