,revision,performance,cpu
474,8.3.0,116.2392,2.248083
475,8.3.0,117.2368,2.263888
476,8.3.0,115.77860000000001,2.183993
477,8.3.0,117.007,2.16752
478,8.3.0,115.7554,2.213487
479,8.3.0,115.7032,2.101011
480,8.3.0,116.2028,2.173634
481,8.3.0,115.352,2.238317
482,8.3.0,115.9768,2.166834
483,8.3.0,114.7194,2.239351
484,8.3.0,115.3402,2.140258
485,8.3.0,116.8562,2.152397
486,8.3.0,115.0804,2.227434
487,8.3.0,116.3398,2.200973
488,8.3.0,116.5894,2.139936
489,8.3.0,116.352,2.183562
490,8.3.0,115.29260000000001,2.245004
491,8.3.0,116.6662,2.19516
492,8.3.0,116.8192,2.227287
493,8.3.0,116.6672,2.227487
494,8.3.0,116.7122,2.295307
495,8.3.0,115.1756,2.222431
496,8.3.0,115.98519999999999,2.240498
497,8.3.0,115.59660000000001,2.350357
498,8.3.0,116.3178,2.205308
499,8.3.0,117.603,2.18995
500,8.3.0,116.62960000000001,2.22091
501,8.3.0,116.36019999999999,2.249664
502,8.3.0,116.1692,2.236385
503,8.3.0,116.6628,2.247793
504,8.3.0,117.0138,2.24588
505,8.3.0,116.9458,2.235203
506,8.3.0,115.521,2.256197
507,8.3.0,114.42760000000001,2.250524
508,8.3.0,118.683,2.183578
509,8.3.0,117.8594,2.239705
510,8.3.0,119.1682,2.18675
511,8.3.0,115.3746,2.228997
512,8.3.0,116.7176,2.203998
513,8.3.0,118.862,2.206222
514,8.3.0,115.5274,2.272308
515,8.3.0,116.855,2.213672
516,8.3.0,117.495,2.199061
517,8.3.0,118.0372,2.184423
518,8.3.0,119.1382,2.169393
519,8.3.0,116.2504,2.243369
520,8.3.0,116.2358,2.255323
521,8.3.0,118.9256,2.143659
522,8.3.0,117.3096,2.2289
523,8.3.0,117.187,2.222441
524,8.3.0,117.7722,2.214435
525,8.3.0,117.844,2.406214
526,8.3.0,118.34360000000001,2.201069
527,8.3.0,118.332,2.215079
528,8.3.0,118.59360000000001,2.142208
529,8.3.0,117.93060000000001,2.140392
530,8.3.0,118.47460000000001,2.235262
531,8.3.0,117.4996,2.20424
532,8.3.0,117.1074,2.221056
533,8.3.0,117.7838,2.196492
534,8.3.0,117.7236,2.280888
535,8.3.0,117.436,2.242531
536,8.3.0,118.83160000000001,2.196221
537,8.3.0,117.2556,2.222272
538,8.3.0,119.202,2.228075
539,8.3.0,117.73819999999999,2.205931
540,8.3.0,117.56960000000001,2.139965
541,8.3.0,117.44,2.083047
542,8.3.0,119.9098,2.090281
543,8.3.0,118.0638,2.053038
544,8.3.0,118.63680000000001,2.169519
545,8.3.0,119.4292,2.140784
546,8.3.0,118.8978,2.139243
547,8.3.0,118.56819999999999,2.108784
548,8.3.0,120.2446,2.124585
549,8.3.0,120.36319999999999,2.12921
550,8.3.0,119.017,2.187558
551,8.3.0,119.1492,2.102132
552,8.3.0,119.7602,2.11211
553,8.3.0,119.4606,2.127511
554,8.3.0,119.05260000000001,2.125301
555,8.3.0,120.9224,2.080518
556,8.3.0,118.74380000000001,2.149042
557,8.3.0,118.9676,2.09272
558,8.3.0,118.131,2.197243
559,8.3.0,117.506,2.159993
560,8.3.0,120.5938,2.021488
561,8.3.0,118.708,2.147556
562,8.3.0,118.4464,2.209815
563,8.3.0,120.8208,2.125872
564,8.3.0,118.9698,2.211218
565,8.3.0,118.4538,2.181116
566,8.3.0,119.4748,2.195154
567,8.3.0,119.058,2.118663
568,8.3.0,119.8792,2.233275
569,8.3.0,119.49719999999999,2.133995
570,8.3.0,119.24260000000001,2.163345
571,8.3.0,117.1888,2.156373
572,8.3.0,119.26780000000001,2.132253
573,8.3.0,118.471,2.223927
574,8.3.0,119.7916,2.186688
575,8.3.0,116.9314,2.192946
576,8.3.0,119.40480000000001,2.056974
577,8.3.0,120.15639999999999,2.153532
578,8.3.0,120.1044,2.143916
579,8.3.0,119.6362,2.166484
580,8.3.0,119.7086,2.160242
581,8.3.0,119.07639999999999,2.155495
582,8.3.0,119.029,2.20323
583,8.3.0,119.9422,2.175949
584,8.3.0,118.32239999999999,2.134434
585,8.3.0,121.2374,2.077268
586,8.3.0,117.0214,2.172885
587,8.3.0,118.2056,2.147484
588,8.3.0,119.86760000000001,2.132723
589,8.3.0,119.6812,2.193806
590,8.3.0,120.13380000000001,2.230016
591,8.3.0,119.0482,2.179272
592,8.3.0,120.21719999999999,2.087435
593,8.3.0,119.38119999999999,2.124656
594,8.3.0,120.19619999999999,2.117611
595,8.3.0,119.714,2.113021
596,8.3.0,119.20519999999999,2.099511
597,8.3.0,118.43719999999999,2.193468
598,8.3.0,119.1412,2.209297
599,8.3.0,118.0552,2.21276
600,8.3.0,119.64760000000001,2.202192
601,8.3.0,119.3296,2.159479
602,8.3.0,118.14580000000001,2.225266
603,8.3.0,119.984,2.176029
604,8.3.0,119.5542,2.258955
605,8.3.0,117.891,2.234087
606,8.3.0,119.70660000000001,2.14697
607,8.3.0,120.328,2.192545
608,8.3.0,119.86019999999999,2.174275
609,8.3.0,118.073,2.262316
610,8.3.0,119.0232,2.181469
611,8.3.0,120.2822,2.130852
612,8.3.0,119.2462,2.219675
613,8.3.0,117.749,2.129914
614,8.3.0,119.19760000000001,2.173314
615,8.3.0,119.18960000000001,2.163847
616,8.3.0,120.0292,2.191716
617,8.3.0,119.2892,2.321271
618,8.3.0,119.2386,2.178821
619,8.3.0,119.1152,2.148938
620,8.3.0,119.2042,2.210446
621,8.3.0,120.21039999999999,2.192102
622,8.3.0,119.037,2.129083
623,8.3.0,117.6882,2.13887
624,8.3.0,119.146,2.187349
625,8.3.0,120.15360000000001,2.1653
626,8.3.0,120.7746,2.116967
627,8.3.0,118.15360000000001,2.127869
628,8.3.0,120.13419999999999,2.167637
629,8.3.0,119.05980000000001,2.218432
630,8.3.0,119.97739999999999,2.142723
631,8.3.0,120.822,2.161301
632,8.3.0,121.686,2.166781
633,8.3.0,119.0886,2.181724
634,8.3.0,120.4966,2.229292
635,8.3.0,121.166,2.244477
636,8.3.0,119.9272,2.118711
637,8.3.0,120.331,2.252019
638,8.3.0,119.67739999999999,2.202533
639,8.3.0,120.3866,2.229832
640,8.3.0,119.3738,2.306816
641,8.3.0,120.4226,2.14806
642,8.3.0,119.3968,2.108978
643,8.3.0,118.3444,2.215654
644,8.3.0,119.356,2.223525
645,8.3.0,119.56460000000001,2.19937
646,8.3.0,120.5782,2.199095
647,8.3.0,118.69839999999999,2.175602
648,8.3.0,113.8398,2.198947
649,8.3.0,112.2476,2.209513
650,8.3.0,113.8222,2.154664
651,8.3.0,114.1708,2.181406
652,8.3.0,111.73219999999999,2.135652
653,8.3.0,114.3738,2.135142
654,8.3.0,113.72739999999999,2.206796
655,8.3.0,113.7722,2.202213
656,8.3.0,111.6882,2.200626
657,8.3.0,114.95439999999999,2.146194
658,8.3.0,113.8364,2.176826
659,8.3.0,112.904,2.188176
660,8.3.0,114.39460000000001,2.188641
661,8.3.0,113.324,2.198502
662,8.3.0,112.4698,2.239534
663,8.3.0,111.0242,2.178214
664,8.3.0,115.2138,2.165089
665,8.3.0,114.4796,2.16715
666,8.3.0,113.5648,2.188323
667,8.3.0,110.8534,2.264954
668,8.3.0,113.3064,2.160329
669,8.3.0,112.4426,2.175534
670,8.3.0,112.4136,2.189611
671,8.3.0,113.866,2.145349
672,8.3.0,114.2436,2.14847
673,8.3.0,113.1276,2.157636
674,8.3.0,114.93360000000001,2.180186
675,8.3.0,114.8044,2.124317
676,8.3.0,113.7714,2.158741
677,8.3.0,113.8202,2.247964
678,8.3.0,114.5544,2.1823
679,8.3.0,114.2878,2.213821
680,8.3.0,113.2058,2.189153
681,8.3.0,113.4786,2.204476
682,8.3.0,113.5498,2.174592
683,8.3.0,111.8932,2.209064
684,8.3.0,111.6406,2.124179
685,8.3.0,112.92660000000001,2.189425
686,8.3.0,114.4546,2.330317
687,8.3.0,113.487,2.225146
688,8.3.0,113.1494,2.23085
689,8.3.0,112.2944,2.222343
690,8.3.0,113.4058,2.223182
691,8.3.0,114.04339999999999,2.201665
692,8.3.0,114.5102,2.131269
693,8.3.0,111.32539999999999,2.183651
694,8.3.0,114.5588,2.205301
695,8.3.0,112.48339999999999,2.180013
696,8.3.0,114.1068,2.205106
697,8.3.0,115.244,2.1701
698,8.3.0,112.484,2.149601
699,8.3.0,113.2984,2.151767
700,8.3.0,113.8408,2.143445
701,8.3.0,114.6092,2.186179
702,8.3.0,113.969,2.1974
703,8.3.0,114.7024,2.188078
704,8.3.0,114.2638,2.132291
705,8.3.0,114.3498,2.219125
706,8.3.0,115.2552,2.205326
707,8.3.0,113.7954,2.223317
708,8.3.0,114.12480000000001,2.219772
709,8.3.0,113.3772,2.243816
710,8.3.0,115.69160000000001,2.214014
711,8.3.0,111.5412,2.208777
712,8.3.0,114.8532,2.188126
713,8.3.0,114.3656,2.238335
714,8.3.0,115.184,2.171762
715,8.3.0,115.765,2.164131
716,8.3.0,113.82560000000001,2.204807
717,8.3.0,112.98960000000001,2.334113
718,8.3.0,116.095,2.285015
719,8.3.0,115.462,2.067631
720,8.3.0,114.38,2.147692
721,8.3.0,114.9898,2.155285
722,8.3.0,115.4046,2.166433
723,8.3.0,114.215,2.186502
724,8.3.0,114.17,2.196234
725,8.3.0,115.5504,2.158721
726,8.3.0,116.39880000000001,2.138524
727,8.3.0,113.487,2.276237
728,8.3.0,113.6934,2.221374
729,8.3.0,113.91239999999999,2.259524
730,8.3.0,116.0274,2.189966
731,8.3.0,113.85539999999999,2.24793
732,8.3.0,114.558,2.208616
733,8.3.0,115.0856,2.313047
734,8.3.0,115.146,2.16309
735,8.3.0,117.03580000000001,2.190368
736,8.3.0,115.121,2.159906
737,8.3.0,113.114,2.229739
738,8.3.0,116.502,2.174527
739,8.3.0,114.1364,2.215578
740,8.3.0,114.70439999999999,2.247385
741,8.3.0,114.7794,2.175314
742,8.3.0,116.5252,2.194763
743,8.3.0,112.87660000000001,2.223192
744,8.3.0,115.06280000000001,2.20166
745,8.3.0,115.679,2.241225
746,8.3.0,116.8306,2.174089
747,8.3.0,111.713,2.273415
748,8.3.0,113.2248,2.198931
749,8.3.0,115.3864,2.185151
750,8.3.0,115.2272,2.33552
751,8.3.0,113.1544,2.216009
