,revision,performance,size,cpu
457,v1.3.0,151.93460000000002,212619,3.569076
458,v1.3.0,151.97979999999998,212619,3.654744
459,v1.3.0,152.3332,212619,3.685769
460,v1.3.0,152.74720000000002,212619,3.529132
461,v1.3.0,152.1004,212619,3.572676
462,v1.3.0,152.1046,212619,3.562995
463,v1.3.0,152.3556,212619,3.531856
464,v1.3.0,151.8286,212619,3.538179
465,v1.3.0,152.3224,212619,3.5667
466,v1.3.0,152.501,212619,3.523021
467,v1.3.0,152.27339999999998,212619,3.554664
468,v1.3.0,152.1598,212945,3.453349
469,v1.3.0,152.4396,212945,3.425519
470,v1.3.0,152.2968,212945,3.438013
471,v1.3.0,152.0084,212945,3.508452
472,v1.3.0,152.4196,212945,3.567212
473,v1.3.0,152.6558,212945,3.576784
474,v1.3.0,152.4736,212945,3.546372
475,v1.3.0,152.1946,212945,3.572135
476,v1.3.0,152.358,212945,3.57925
477,v1.3.0,152.46,212945,3.544157
478,v1.3.0,152.38739999999999,212945,3.585997
479,v1.3.0,152.3218,212945,3.572626
480,v1.3.0,152.42579999999998,212945,3.545491
481,v1.3.0,152.1432,212945,3.522747
482,v1.3.0,152.1488,212945,3.447554
483,v1.3.0,152.1732,212945,3.526715
484,v1.3.0,152.598,212945,3.417375
485,v1.3.0,152.3046,212945,3.560305
486,v1.3.0,152.4888,212945,3.553496
487,v1.3.0,152.636,212945,3.580362
488,v1.3.0,152.25820000000002,212945,3.546623
489,v1.3.0,152.50779999999997,212945,3.552224
490,v1.3.0,151.7606,212945,3.588819
491,v1.3.0,152.9174,212945,3.524444
492,v1.3.0,152.4076,212945,3.556347
493,v1.3.0,152.181,212945,3.557699
494,v1.3.0,152.0914,212945,3.635634
495,v1.3.0,152.31179999999998,212945,3.540961
496,v1.3.0,152.284,212945,3.452716
497,v1.3.0,152.25179999999997,212945,3.558675
498,v1.3.0,152.2174,212945,3.387417
499,v1.3.0,152.12460000000002,212945,3.494569
500,v1.3.0,151.9426,212945,3.563485
501,v1.3.0,151.94379999999998,212945,3.551523
502,v1.3.0,152.4616,212945,3.553421
503,v1.3.0,152.3246,212945,3.559
504,v1.3.0,151.6416,213453,3.578668
505,v1.3.0,151.69660000000002,213453,3.545887
506,v1.3.0,151.8624,213453,3.532922
507,v1.3.0,152.09720000000002,213453,3.582706
508,v1.3.0,151.5226,213453,3.560588
509,v1.3.0,151.5574,213453,3.56164
510,v1.3.0,152.119,213453,3.560633
511,v1.3.0,151.96120000000002,213453,3.644936
512,v1.3.0,151.8724,213453,3.560556
513,v1.3.0,151.6598,213453,3.422872
514,v1.3.0,152.02679999999998,213453,3.412038
515,v1.3.0,151.8914,213453,3.424265
516,v1.3.0,152.0014,213453,3.539944
517,v1.3.0,151.7904,213453,3.562877
518,v1.3.0,151.9942,213453,3.553907
519,v1.3.0,152.3936,213453,3.540254
520,v1.3.0,152.0996,213453,3.578172
521,v1.3.0,151.759,213453,3.72056
522,v1.3.0,152.11579999999998,213453,3.562534
523,v1.3.0,152.002,213453,3.563452
524,v1.3.0,152.3928,213453,3.57389
525,v1.3.0,152.13739999999999,213453,3.59772
526,v1.3.0,151.84179999999998,213453,3.635655
527,v1.3.0,151.77439999999999,213453,3.5622
528,v1.3.0,151.7488,213453,3.479615
529,v1.3.0,151.8894,213453,3.464091
530,v1.3.0,152.25979999999998,213453,3.440007
531,v1.3.0,152.1062,213453,3.381025
532,v1.3.0,152.38739999999999,213453,3.568568
533,v1.3.0,152.30960000000002,213453,3.56766
534,v1.3.0,152.13379999999998,213453,3.583555
535,v1.3.0,151.886,213453,3.498963
536,v1.3.0,152.22060000000002,213453,3.560678
537,v1.3.0,151.9914,213453,3.563649
538,v1.3.0,151.92579999999998,213453,3.550082
539,v1.3.0,151.4606,213453,3.600147
