,revision,performance,cpu,benchmark-energy,fixed-energy,benchmark-power,fixed-power
14178,2.3.5,101153.8,24.943961,3504.4,6295.726854,34.505876,26.231012
14179,2.3.5,94908.8,23.98318,3219.4,6073.934517,33.83266,25.278448
14180,2.3.5,89983.8,23.094806,3032,5991.465422,33.632148,24.920473
14181,2.3.5,100726.8,25.113816,3500,6303.265283,34.661928,26.163902
14182,2.3.5,95573.0,24.217928,3289,6175.972159,34.322903,25.684921
14183,2.3.5,89833.6,23.000544,3017.8,6059.130806,33.621552,25.172286
14184,2.3.5,54592.6,5.012653,1737.2,5466.362207,31.539337,22.596193
14185,2.3.5,54417.6,5.133475,1670.6,5333.177158,30.570328,22.099832
14186,2.3.5,54594.0,5.020532,1681.8,5329.348752,30.69776,22.094288
14187,2.3.5,54676.4,5.117522,1707.4,5330.671467,31.095322,22.282656
14188,2.3.5,54622.8,5.194148,1727,5452.497614,31.40049,22.563275
14189,2.3.5,54426.0,5.143758,1677.8,5313.309299,30.830383,22.198077
14190,2.3.5,75909.2,18.065704,2482.8,5693.341299,32.602728,23.613899
14191,2.3.5,74009.2,16.459475,2430.8,5731.17105,32.677496,23.772919
14192,2.3.5,73527.2,16.447742,2435.6,5798.84919,33.229058,24.18963
14193,2.3.5,74631.0,17.501117,2450.6,5702.164656,32.773931,23.738499
14194,2.3.5,74703.6,17.591647,2439.8,5642.327335,32.591941,23.618859
14195,2.3.5,73585.6,16.415635,2393.6,5734.224933,32.552986,23.913464
14196,2.3.5,73351.4,16.438106,2398.6,5691.150308,32.449564,23.672688
14197,2.3.5,73253.6,16.65096,2424,5754.191275,33.08019,24.179978
14198,2.3.5,73536.0,16.555597,2391.4,5664.13924,32.507037,23.593193
14199,2.3.5,74780.4,17.322886,2483.2,5757.94465,33.118703,23.997096
14200,2.3.5,73168.6,16.549629,2381.2,5619.91721,32.551836,23.440327
14201,2.3.5,73098.0,16.452508,2438.4,5791.023944,33.306022,24.062522
14202,2.3.5,74894.2,17.523442,2455.4,5687.721774,32.786288,23.75674
14203,2.3.5,75122.0,17.670595,2483.6,5681.202276,32.819217,23.766602
14204,2.3.5,73248.2,16.391299,2408.2,5707.618459,32.788838,23.857307
14205,2.3.5,73584.2,16.448771,2422,5807.938007,32.951099,24.132734
14206,2.3.5,73278.6,16.316105,2390,5721.647097,32.439416,23.67276
14207,2.3.5,73482.6,16.535862,2394.2,5689.373095,32.560339,23.626116
14208,2.3.5,80686.0,18.891574,2767,5985.233731,34.199651,24.822023
14209,2.3.5,72560.6,16.224928,2426.8,5798.783401,33.256234,24.004217
14210,2.3.5,69986.4,15.290682,2310,5676.127413,32.889571,23.525245
14211,2.3.5,80654.2,18.89404,2730.2,5834.578328,33.821748,24.43682
14212,2.3.5,72502.6,16.210195,2469.4,5820.056811,33.780553,24.156218
14213,2.3.5,70243.6,15.120861,2328.6,5760.984265,33.131159,23.987076
14214,2.3.5,80737.8,18.915669,2699.2,5871.013612,33.467452,24.593232
14215,2.3.5,72511.4,16.221301,2398.2,5693.942048,33.027963,23.820019
14216,2.3.5,70086.6,15.226864,2361.2,5768.487174,33.635952,24.061545
14217,2.3.5,80885.0,18.723694,2734,5866.791707,33.808514,24.48617
14218,2.3.5,72526.6,16.071899,2389.4,5649.638894,32.782222,23.663641
14219,2.3.5,69767.6,15.279951,2308.6,5628.058389,32.984274,23.468751
14220,2.3.5,80920.8,18.636114,2765.8,5978.188177,34.187491,25.004828
14221,2.3.5,72600.4,16.073049,2418.6,5671.906003,33.259277,23.788799
14222,2.3.5,70122.2,15.357463,2327.4,5728.875269,32.915385,23.678719
14223,2.3.5,80616.6,18.821,2724.4,5899.066929,33.763546,24.481087
14224,2.3.5,72429.6,16.197761,2422.8,5830.103632,33.497562,24.195208
14225,2.3.5,70082.0,15.182286,2334.4,5710.397943,33.194872,23.841941
14226,2.3.5,102212.6,25.725725,3495.4,6219.426181,34.34268,25.996884
14227,2.3.5,94937.0,24.4337,3232,6096.363271,34.098437,25.442095
14228,2.3.5,94078.6,24.108946,3249,6198.049977,34.543113,25.746064
14229,2.3.5,102230.6,25.461803,3534.4,6288.133491,34.57973,26.179937
14230,2.3.5,94023.4,23.880427,3204.4,6050.072492,33.895291,25.283415
14231,2.3.5,91743.8,23.631032,3092.8,5983.745517,33.70519,25.038648
14232,2.3.5,102465.8,25.551942,3540.4,6324.313381,34.685639,26.447737
14233,2.3.5,94186.4,24.091425,3221.4,6126.637463,34.041773,25.517092
14234,2.3.5,91586.6,23.665064,3095.2,6029.920163,33.709484,24.998267
14235,2.3.5,127479.2,27.012714,4377.2,6615.801349,34.267804,27.547941
14236,2.3.5,118402.4,25.860139,4126.8,6563.095028,34.821991,27.406462
14237,2.3.5,112626.0,24.677879,3874.6,6436.606,34.436174,26.752692
14238,2.3.5,125949.4,26.966563,4309.2,6530.807306,34.240315,27.28152
14239,2.3.5,114582.8,26.030137,3918.8,6379.291829,34.234386,26.711843
14240,2.3.5,112368.4,24.890532,3916.6,6494.659629,34.788585,27.024925
14241,2.3.5,102041.2,25.234787,3518.4,6259.546243,34.501253,26.129026
14242,2.3.5,93808.6,23.887367,3189.4,6042.721192,33.930912,25.27516
