root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;threads_1;threads_2;threads_3;threads_4;threads;tokenParts_0;tokenParts_1;tokenParts_2;tokenParts;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;energy;cpu
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;v0.9.1;0.010398;0.019301;0.051528;0.064253
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;v0.9.1;0.023277;0.023596;0.027991;0.050555
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;1;v0.9.1;0.03657;0.016888;0.031729;0.005606
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;v0.9.1;0.024386;0;0.043566;0.044293
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;v0.9.1;0.01747;0.023188;0.046853;0.041711
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;v0.9.1;0.050394;0.023136;0.037673;0.038534
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;1;v0.9.1;0.017134;0.023487;0.03292;0.04485
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;0.018967;0;0.080227;0.067864
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;0.013677;0.019482;0.038563;0.052416
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;0.021211;0.023708;0.019476;0.033521
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;0.018366;0.022467;0.043905;0.059601
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.004526;0;0.06445;0.05738
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.040874;0.021984;0.099556;0.036359
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.018248;0.022517;0.021785;0.066214
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.014733;0.022495;0.053546;0.033939
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.002121;0;0.025313;0.068133
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.022406;0.024244;0.01674;0.049879
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.027692;0.020764;0.028884;0.057176
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.025695;0.020498;0.051735;0.038722
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;0.009753;0;0.045103;0.068083
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;0.018377;0.019377;0.061549;0.059564
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;0.016597;0.021285;0.032357;0.031596
