root;WindowSize;CompressionLevel;performance;energy;memory;size;revision
1;16;6;0.003249;0.050415;0.009111;0.000000;0.4.0
1;17;6;0.004113;0.194090;0.006758;0.000000;0.4.0
1;18;6;0.004918;0.243296;0.010930;0.000000;0.4.0
1;19;6;0.002621;0.052384;0.007365;0.000000;0.4.0
1;20;6;0.009764;0.086519;0.006773;0.000000;0.4.0
1;21;6;0.005101;0.047822;0.059962;0.000000;0.4.0
1;22;6;0.005821;0.033315;0.024350;0.000000;0.4.0
1;23;6;0.001402;0.030326;0.020027;0.000000;0.4.0
1;24;6;0.004467;0.088494;0.010225;0.000000;0.4.0
1;10;7;0.009335;0.093475;0.005018;0.000000;0.4.0
1;11;7;0.007784;0.084967;0.006064;0.000000;0.4.0
1;12;7;0.005069;0.080384;0.006739;0.000000;0.4.0
1;13;7;0.007340;0.115677;0.005975;0.000000;0.4.0
1;14;7;0.003688;0.111158;0.005370;0.000000;0.4.0
1;15;7;0.005700;0.083217;0.005718;0.000000;0.4.0
1;16;7;0.004585;0.222972;0.004018;0.000000;0.4.0
1;17;7;0.004517;0.026242;0.005667;0.000000;0.4.0
1;18;7;0.005963;0.078182;0.003374;0.000000;0.4.0
1;19;7;0.005956;0.068549;0.003034;0.000000;0.4.0
1;20;7;0.013036;0.066360;0.004464;0.000000;0.4.0
1;21;7;0.013870;0.030764;0.025200;0.000000;0.4.0
1;22;7;0.007191;0.034152;0.011092;0.000000;0.4.0
1;23;7;0.012372;0.016650;0.009540;0.000000;0.4.0
1;24;7;0.008888;0.038012;0.009075;0.000000;0.4.0
1;10;8;0.004624;0.193494;0.000742;0.000000;0.4.0
1;11;8;0.002720;0.126815;0.003546;0.000000;0.4.0
1;12;8;0.004890;0.131990;0.001017;0.000000;0.4.0
1;13;8;0.002798;0.225994;0.003250;0.000000;0.4.0
1;14;8;0.006045;0.082701;0.003945;0.000000;0.4.0
1;15;8;0.002589;0.075022;0.003539;0.000000;0.4.0
1;16;8;0.011978;0.063814;0.003771;0.000000;0.4.0
1;17;8;0.005305;0.077399;0.002500;0.000000;0.4.0
1;18;8;0.009141;0.111722;0.001725;0.000000;0.4.0
1;19;8;0.015595;0.041369;0.012621;0.000000;0.4.0
1;20;8;0.007276;0.051828;0.000759;0.000000;0.4.0
1;21;8;0.005079;0.023586;0.033541;0.000000;0.4.0
1;22;8;0.008512;0.029038;0.014398;0.000000;0.4.0
1;23;8;0.037001;0.049507;0.009825;0.000000;0.4.0
1;24;8;0.005046;0.024817;0.005712;0.000000;0.4.0
1;10;9;0.005662;0.096573;0.001177;0.000000;0.4.0
1;11;9;0.004049;0.090803;0.001351;0.000000;0.4.0
1;12;9;0.003955;0.207239;0.001939;0.000000;0.4.0
1;13;9;0.002498;0.165439;0.002487;0.000000;0.4.0
1;14;9;0.002002;0.117051;0.002031;0.000000;0.4.0
1;15;9;0.010253;0.040310;0.001370;0.000000;0.4.0
1;16;9;0.006997;0.101865;0.000446;0.000000;0.4.0
1;17;9;0.006067;0.078192;0.001292;0.000000;0.4.0
1;18;9;0.004370;0.057814;0.021153;0.000000;0.4.0
1;19;9;0.003105;0.050952;0.028476;0.000000;0.4.0
1;20;9;0.009324;0.040352;0.017688;0.000000;0.4.0
1;21;9;0.015743;0.025420;0.014384;0.000000;0.4.0
1;22;9;0.023816;0.044757;0.005874;0.000000;0.4.0
1;23;9;0.008280;0.024956;0.011409;0.000000;0.4.0
1;24;9;0.023011;0.033296;0.014056;0.000000;0.4.0
1;10;10;0.001117;0.016880;0.009244;0.000000;0.4.0
1;11;10;0.000415;0.015209;0.007331;0.000000;0.4.0
1;12;10;0.000761;0.015539;0.003011;0.000000;0.4.0
1;13;10;0.003785;0.024825;0.013767;0.000000;0.4.0
1;14;10;0.001522;0.017887;0.011827;0.000000;0.4.0
1;15;10;0.001854;0.015088;0.012452;0.000000;0.4.0
1;16;10;0.001520;0.015732;0.001877;0.000000;0.4.0
1;17;10;0.001127;0.016919;0.046541;0.000000;0.4.0
1;18;10;0.001266;0.020166;0.020989;0.000000;0.4.0
1;19;10;0.000527;0.018670;0.039456;0.000000;0.4.0
1;20;10;0.001210;0.014534;0.027575;0.000000;0.4.0
1;21;10;0.001411;0.020562;0.014652;0.000000;0.4.0
1;22;10;0.003382;0.023690;0.001455;0.000000;0.4.0
1;23;10;0.002539;0.023082;0.002610;0.000000;0.4.0
1;24;10;0.003491;0.012019;0.005485;0.000000;0.4.0
1;10;11;0.000718;0.017690;0.007269;0.000000;0.4.0
1;11;11;0.001241;0.033989;0.007751;0.000000;0.4.0
1;12;11;0.001570;0.022622;0.008521;0.000000;0.4.0
1;13;11;0.004417;0.019641;0.008415;0.000000;0.4.0
1;14;11;0.001616;0.015465;0.009279;0.000000;0.4.0
1;15;11;0.004052;0.019222;0.004883;0.000000;0.4.0
1;16;11;0.003692;0.017836;0.005061;0.000000;0.4.0
1;17;11;0.001533;0.017264;0.005570;0.000000;0.4.0
1;18;11;0.000933;0.014448;0.031491;0.000000;0.4.0
1;19;11;0.000436;0.019316;0.025037;0.000000;0.4.0
1;20;11;0.001681;0.014866;0.016825;0.000000;0.4.0
1;21;11;0.001591;0.021034;0.005767;0.000000;0.4.0
1;22;11;0.001939;0.018025;0.005963;0.000000;0.4.0
1;23;11;0.001762;0.017017;0.002114;0.000000;0.4.0
1;24;11;0.001884;0.016552;0.001712;0.000000;0.4.0
1;10;0;0.005557;0.278378;0.031492;0.000000;0.5.2
1;11;0;0.003922;0.357507;0.040422;0.000000;0.5.2
1;12;0;0.004685;0.222208;0.032482;0.000000;0.5.2
1;13;0;0.017597;0.351009;0.040123;0.000000;0.5.2
1;14;0;0.012959;0.253239;0.067607;0.000000;0.5.2
1;15;0;0.025252;0.392029;0.058067;0.000000;0.5.2
1;16;0;0.027661;0.275347;0.037776;0.000000;0.5.2
1;17;0;0.019590;0.244814;0.069197;0.000000;0.5.2
1;18;0;0.016217;0.233666;0.034190;0.000000;0.5.2
1;19;0;0.023868;0.328245;0.030752;0.000000;0.5.2
1;20;0;0.015385;0.058355;0.068155;0.000000;0.5.2
1;21;0;0.038071;0.327555;0.048653;0.000000;0.5.2
1;22;0;0.038887;0.338438;0.085112;0.000000;0.5.2
1;23;0;0.021453;0.149792;0.039064;0.000000;0.5.2
1;24;0;0.021549;0.332487;0.021177;0.000000;0.5.2
1;10;1;0.011408;0.154297;0.027526;0.000000;0.5.2
1;11;1;0.004890;0.295543;0.050880;0.000000;0.5.2
1;12;1;0.010892;0.331025;0.038394;0.000000;0.5.2
1;13;1;0.020119;0.319602;0.052071;0.000000;0.5.2
1;14;1;0.020328;0.444112;0.040606;0.000000;0.5.2
1;15;1;0.024773;0.337956;0.020080;0.000000;0.5.2
1;16;1;0.032472;0.009104;0.037860;0.000000;0.5.2
1;17;1;0.021667;0.333714;0.051384;0.000000;0.5.2
1;18;1;0.065365;0.004890;0.052975;0.000000;0.5.2
1;19;1;0.025056;0.361976;0.061454;0.000000;0.5.2
1;20;1;0.029171;0.293509;0.052174;0.000000;0.5.2
1;21;1;0.043654;0.181953;0.042581;0.000000;0.5.2
1;22;1;0.020700;0.331656;0.032534;0.000000;0.5.2
1;23;1;0.043855;0.420901;0.022431;0.000000;0.5.2
1;24;1;0.032141;0.422517;0.037018;0.000000;0.5.2
1;10;2;0.011562;0.044017;0.014432;0.000000;0.5.2
1;11;2;0.006455;0.070207;0.021769;0.000000;0.5.2
1;12;2;0.005277;0.214965;0.041011;0.000000;0.5.2
1;13;2;0.006817;0.295458;0.031133;0.000000;0.5.2
1;14;2;0.006629;0.332188;0.026171;0.000000;0.5.2
1;15;2;0.005846;0.355407;0.015716;0.000000;0.5.2
1;16;2;0.004245;0.208692;0.019487;0.000000;0.5.2
1;17;2;0.006781;0.192119;0.022187;0.000000;0.5.2
1;18;2;0.006683;0.268500;0.014609;0.000000;0.5.2
1;19;2;0.019518;0.287876;0.033650;0.000000;0.5.2
1;20;2;0.014828;0.279607;0.005008;0.000000;0.5.2
1;21;2;0.011485;0.216786;0.011193;0.000000;0.5.2
1;22;2;0.007816;0.102260;0.004743;0.000000;0.5.2
1;23;2;0.012414;0.049799;0.006126;0.000000;0.5.2
1;24;2;0.013764;0.134168;0.002740;0.000000;0.5.2
1;10;3;0.006640;0.283149;0.027843;0.000000;0.5.2
1;11;3;0.005923;0.202085;0.020931;0.000000;0.5.2
1;12;3;0.007283;0.104686;0.034696;0.000000;0.5.2
1;13;3;0.003776;0.094045;0.018540;0.000000;0.5.2
1;14;3;0.010470;0.230068;0.036049;0.000000;0.5.2
1;15;3;0.007001;0.200704;0.013092;0.000000;0.5.2
1;16;3;0.005618;0.120288;0.042489;0.000000;0.5.2
1;17;3;0.007036;0.020332;0.014297;0.000000;0.5.2
1;18;3;0.010275;0.194631;0.009899;0.000000;0.5.2
1;19;3;0.007319;0.047722;0.029212;0.000000;0.5.2
1;20;3;0.005808;0.131629;0.010881;0.000000;0.5.2
1;21;3;0.011304;0.181103;0.012724;0.000000;0.5.2
1;22;3;0.003822;0.239952;0.007448;0.000000;0.5.2
1;23;3;0.006776;0.274803;0.007390;0.000000;0.5.2
1;24;3;0.009362;0.314825;0.002296;0.000000;0.5.2
1;10;4;0.005674;0.030366;0.031267;0.000000;0.5.2
1;11;4;0.009430;0.062563;0.029075;0.000000;0.5.2
1;12;4;0.005785;0.183659;0.017190;0.000000;0.5.2
1;13;4;0.001653;0.140270;0.040797;0.000000;0.5.2
1;14;4;0.009787;0.174468;0.024964;0.000000;0.5.2
1;15;4;0.010165;0.316874;0.027851;0.000000;0.5.2
1;16;4;0.007844;0.107487;0.011788;0.000000;0.5.2
1;17;4;0.005814;0.219522;0.023731;0.000000;0.5.2
1;18;4;0.002317;0.092342;0.024605;0.000000;0.5.2
1;19;4;0.007615;0.141993;0.023560;0.000000;0.5.2
1;20;4;0.002790;0.251816;0.012710;0.000000;0.5.2
1;21;4;0.005678;0.181417;0.075165;0.000000;0.5.2
1;22;4;0.006288;0.120614;0.046296;0.000000;0.5.2
